word,count
grateful,13
spend,13
youngest,13
literary,13
ran,13
turning,13
taste,13
sooner,13
consent,13
comparison,13
permission,13
intimate,13
picture,13
entrance,13
request,13
opening,13
ideas,13
yesterday,13
tea,13
constant,13
recollected,13
agreed,13
worse,13
considering,13
understood,13
dared,13
enjoyment,13
beginning,13
standing,13
distressed,13
clothes,13
interference,13
eager,13
seriously,13
stranger,12
amusement,12
apprehension,12
false,12
rank,12
relationship,12
recollection,12
comfortable,12
unhappy,12
forth,12
music,12
follow,12
favourable,12
tuesday,12
single,12
bringing,12
servants,12
application,12
welcome,12
books,12
engagements,12
returning,12
silly,12
garden,12
recommend,12
pay,12
approaching,12
hard,12
actually,12
accomplished,12
enter,12
courage,12
judge,12
georgiana,12
danced,12
shortly,12
hall,12
parties,12
speech,12
steady,12
add,12
free,12
attached,12
congratulations,12
applied,12
joy,12
copy,12
hint,12
rich,12
colour,12
elder,12
admired,12
occasionally,12
observing,12
begin,12
denny,12
try,12
looks,12
besides,12
happen,12
expressions,12
ladyship's,12
forgotten,12
disappointed,12
perceived,12
contempt,12
naturally,12
believing,12
amongst,12
caroline,12
listen,12
generous,12
probable,12
shook,11
support,11
grieved,11
chaise,11
relate,11
provide,11
prejudice,11
drove,11
increased,11
introduction,11
opposite,11
wants,11
run,11
judgement,11
smallest,11
rendered,11
dreadful,11
mine,11
disgrace,11
acquaintances,11
excessively,11
church,11
laughed,11
confidence,11
folly,11
paragraph,11
introduce,11
remain,11
lose,11
confusion,11
feared,11
increasing,11
communication,11
private,11
noble,11
lord,11
desirable,11
education,11
esteem,11
learn,11
considerable,11
supper,11
lately,11
important,11
boast,11
due,11
relation,11
bow,11
satisfy,11
invited,11
delicacy,11
caught,11
compliments,11
visitor,11
plain,11
objections,11
instrument,11
moreover,11
earnestly,11
views,11
hurry,11
required,11
difficult,11
ground,11
wild,11
aloud,11
cousins,11
passing,11
decided,11
income,11
necessity,11
gained,11
imprudent,11
six,10
insufficient,10
mamma,10
neighbours,10
strange,10
escape,10
unlucky,10
neglect,10
finished,10
vexation,10
attentive,10
proceeded,10
chiefly,10
consolation,10
partial,10
inquire,10
heartily,10
pronounced,10
sentiments,10
awkward,10
inclined,10
direction,10
smiles,10
flatter,10
reflection,10
card,10
overcome,10
loved,10
explanation,10
stand,10
contrary,10
impatience,10
amazement,10
access,10
virtue,10
provided,10
remarkably,10
embarrassment,10
staying,10
endeavoured,10
goodness,10
observe,10
laughing,10
listening,10
intimacy,10
interruption,10
proposal,10
including,10
consequently,10
secrecy,10
furniture,10
concluded,10
preference,10
lane,10
bennets,10
twenty,10
inquiry,10
hill,10
difference,10
various,10
triumph,10
debts,10
ebook,10
happiest,10
coach,10
unwilling,10
prepared,10
sincere,10
trademark,10
smiling,10
style,10
hurried,10
possession,10
moments,10
rational,10
tears,10
informed,10
quick,10
dances,10
shame,10
wretched,10
quit,10
waiting,10
refund,10
lambton,10
encouragement,10
reynolds,10
subjects,10
excited,10
property,10
utmost,10
forgive,10
thither,9
clear,9
owner,9
fears,9
improvement,9
value,9
whisper,9
remembered,9
uncommonly,9
humble,9
repeatedly,9
moved,9
along,9
fall,9
fresh,9
console,9
threw,9
elopement,9
continue,9
honoured,9
close,9
directed,9
parish,9
remaining,9
act,9
violent,9
youth,9
gives,9
suspected,9
interrupted,9
misfortune,9
patience,9
dressing,9
nearly,9
uncle's,9
