word,count
congratulatory,1
uncomfortable,7
kindness,29
refreshment,5
dissuade,1
accusing,1
whichever,2
ruin,5
succeeding,4
flirt,4
hard,12
nowhere,1
'as,1
losses,1
unaccountable,2
beneath,5
sources,3
through,44
risk,5
shared,5
joke,3
marks,2
cease,3
point,46
is,859
nearly,9
successful,3
older,2
perpetual,1
thursday,4
horror,5
amazing,2
interrupt,5
model,2
troubling,1
forcibly,4
foreseen,2
uncle's,9
conversations,1
witnessing,1
voluntarily,6
oaks,1
effectual,1
humanity,2
ensuing,1
legacy,1
disclosure,1
old,15
ungracious,3
suffers,1
persons,9
frost,1
discomposure,3
ceremony,5
satirical,1
mr,766
age,15
displease,1
thankfully,1
original,5
nine,2
deduced,1
pity,9
ugly,2
introduce,11
glimpse,2
felt,99
creatures,1
advanced,5
user,3
effusions,2
verses,1
bingleys',1
patient,1
seemed,65
warranty,2
restrictions,2
sympathise,1
met,40
envy,3
noticing,1
frequent,13
guilt,3
special,3
originate,1
handsomely,2
unluckily,3
health,18
stoutly,1
epsom,3
rector,3
gallery,4
undecided,1
valuable,9
inadequate,1
command,6
raptures,7
realised,1
nourishes,1
shaking,2
rose,7
actually,12
finer,5
recovered,6
praises,2
forster's,1
readily,17
visits,5
crowded,3
made,126
force,8
deceitful,2
upbraiding,1
service,8
chance,18
known,57
heads,1
judging,2
originator,1
discharging,2
wiser,1
symptom,4
jenkinson's,1
forbade,1
brotherly,1
arrogance,1
accident,5
hackneyed,1
etiquette,2
authorized,1
doleful,1
qualities,6
singled,2
steward,5
afresh,1
diminution,1
stretch,2
seniority,1
whence,2
glazing,1
pitiful,2
darling,1
separating,1
lobby,1
spoke,42
awful,2
domain,8
road,13
vexed,8
maria,18
injured,4
manager,1
master,25
pales,2
miraculous,2
